Nome,Classe,Tipo de Ativo,Bolsa Fonte,Ativo Cancelado,CNPJ,Número de emissão,Serie,Codigo,Setor NAICS ult disponiv,Agente Fiduciário,Líder,Banco Mandatário,Incentivada Lei 12.431,Volume,Data de emissão,Vencimento/Repactuação,Referência NTN-B,Remuneração,Amortização,Espécie,Tipo de Debênture,Índice de correção,Data da Últ Cotação,Taxa (YTM) [%],Máximo da Taxa (YTM) 12 meses [%],Data do Máximo Taxa (YTM) 12 meses,Taxa Atual vs Máx 12m [%],PU [R$],Máximo do PU 12 meses [R$],Data do Máximo PU 12 meses,PU Atual vs Máx 12m [%],Duration [dias úteis],Taxa de Compra [%],Taxa de Venda [%],Retorno 1 dia [%],Prêmio vs CDI 1 dia [% do CDI],Retorno 6 meses [%],Prêmio vs CDI 6 meses [% do CDI],Retorno 12 meses [%],Prêmio vs CDI 12 meses [% do CDI],Retorno no Ano [%],Prêmio vs CDI no Ano [% do CDI],Retorno do Início [%],Prêmio vs CDI do Início [% do CDI],Volatilidade 12 meses [%],Sharpe 12 meses,Máx Retorno Mensal (últ. 12 meses) [%],Máx Prêmio Mensal (últ. 12 meses) [% do CDI],Mín Retorno Mensal (últ. 12 meses) [%],Mín Prêmio Mensal (últ. 12 meses) [% do CDI],Meses Positivos (últ. 12 meses) [unidades],Meses acima do CDI (últ. 12 meses) [unidades],Dias Positivos (últ. 12 meses) [%],Dias acima do CDI (últ. 12 meses) [%],Perda Máxima (últ. 12 meses) [%],Data do Pico Perda Máxima,Data do Fundo Perda Máxima,Tempo de Recuperação Perda Máxima em dias úteis,Data Recuperação Perda Máxima
Aegea Saneamento e Part S/A,Emis 03/Ser 01,Título privado de renda fixa,Anbima,ativo,08827501000158,3,01,AEGP13,"Água, esgoto e outros sistemas",Pentagono SA Dtvm,Banco BTG Pactual SA,Itau Unibanco SA,Não,533500000.00,15/07/2018,15/07/2023,,"Pagamento semestral, nos dias 15-Jan e 15-Jul. Primeiro em 15-Jan-2019 e última no vencimento","Pagamento anual, primeiro em 15-Jul-2021 e última no vencimento",Quirografária,DI Spread,"DI + 1,4%",21/12/2020,,4.6006,09/04/2020,,,10037.33246,21/12/2020,,,,,,,4.26,432.97,2.42,86.30,2.32,85.76,,,3.36,-0.10,3.02,1059.16,-6.94,-2051.91,11,11,,,-7.25,06/03/2020,09/04/2020,117,24/08/2020
Aegea Saneamento e Part S/A,Emis 03/Ser 02,Título privado de renda fixa,Anbima,ativo,08827501000158,3,02,AEGP23,"Água, esgoto e outros sistemas",Pentagono SA Dtvm,Banco BTG Pactual SA,Itau Unibanco SA,Não,66500000.00,15/07/2018,15/07/2025,15/08/2024,Pagamento anual. Primeiro em 15-jul-2019 e última no vencimento,Pagamento anual. Primeiro em 15-jul-2024 e última no vencimento,Quirografária,IPCA Spread,"IPCA + 7,0825%",21/12/2020,,,,,,,,,,,,,,,,,,,,,,,,4.09,2104.79,-0.96,-612.42,,,,,-2.29,09/09/2020,29/09/2020,28,20/10/2020
AES Sul,Emis 07/Ser uni,Título privado de renda fixa,Anbima,ativo,02016440000162,7,uni,AESL17,"Geração, transmissão e distribuição de energia elétrica",Pentagono SA Dtvm,Banco Itau BBA SA,Banco Bradesco SA,Sim,219600000.00,04/09/2018,15/08/2025,15/05/2025,Pagamento semestral. nos dias 15-fev e 15-ago. Primeiro em 15-fev-2019 e última no vencimento,Pagamento semestral. nos dias 15-fev e 15-ago. Primeiro em 15-ago-2024 e última no vencimento,Quirografária,IPCA Spread,"IPCA + 5,80",21/12/2020,,,,,,,,,,,,,,11.94,1212.86,,,,,,,,,3.45,2590.50,-0.95,-603.53,,,,,-2.78,03/06/2020,16/06/2020,14,24/06/2020
AES Tiete E,Emis 05/Ser uni,Título privado de renda fixa,Anbima,ativo,04128563000110,5,uni,TIET15,"Geração, transmissão e distribuição de energia elétrica",Oliveira Trust Dtvm SA,Banco BTG Pactual SA,Banco Bradesco SA,Sim,180000000.00,15/11/2016,15/12/2023,15/05/2023,Pagamento anual. Primeiro em 15-dez-2017 e última no vencimento,2 parcelas iguais em 15-dez-2022 e no vencimento,Quirografária,IPCA Spread,"IPCA + 6,5365%",21/12/2020,,5.3789,23/03/2020,,,1288.31545,21/12/2020,,,,,,,8.15,828.33,11.54,410.83,10.69,395.23,,,6.09,1.45,2.17,1676.34,-3.84,-1133.51,10,10,,,-7.15,04/03/2020,23/03/2020,79,29/06/2020
AES Tiete E,Emis 06/Ser 02,Título privado de renda fixa,Anbima,ativo,04128563000110,6,2,TIET26,"Geração, transmissão e distribuição de energia elétrica",Oliveira Trust Dtvm SA,Banco Bradesco Bbi SA,Banco Bradesco SA,Não,317620000.00,15/04/2017,15/04/2024,15/05/2023,Pagamento Semestral. nos dias 15-Abr e 15-Out. Primeiro em 15-Out-2017,2 parcelas iguais em 15-Abr-2023 e no vencimento,Quirografária,IPCA Spread,"IPCA + 6,7842%",21/12/2020,,5.4428,27/03/2020,,,1.274129,21/12/2020,,,,,,,6.01,610.36,9.09,323.61,8.25,305.07,,,6.86,0.94,2.96,1337.22,-4.96,-1465.73,9,9,,,-7.64,04/03/2020,27/03/2020,79,29/06/2020
AES Tiete E,Emis 07/Ser 02,Título privado de renda fixa,Anbima,ativo,04128563000110,7,02,TIET27,"Geração, transmissão e distribuição de energia elétrica",Simplific Pavarini DTVM Ltda,Banco Itau BBA SA,Banco Bradesco SA,Não,750000000.00,15/02/2018,15/02/2023,,Pagamento semestral. nos dias 15-ago e 15-fev. Primeiro em 15-ago-2018 e última no vencimento,2 parcelas: 50% em 15-fev-2022 e 50% no vencimento,Quirografária,DI Spread,"DI + 1,3%",21/12/2020,,3.8253,15/04/2020,,,1005.013557,21/12/2020,,,,,,,3.53,358.48,2.95,104.97,2.83,104.79,,,2.59,0.07,1.70,722.34,-4.44,-1312.00,11,11,,,-5.47,19/03/2020,15/04/2020,96,06/08/2020
AES Tiete E,Emis 08/Ser uni,Título privado de renda fixa,Anbima,ativo,04128563000110,8,uni,TIET18,"Geração, transmissão e distribuição de energia elétrica",Oliveira Trust Dtvm SA,Banco BTG Pactual SA,Banco Bradesco SA,Sim,200000000.00,15/05/2018,15/05/2030,15/08/2026,"Pagamento semestral, nos dias 15-Nov e 15/mai. Primeiro em 15-Nov-2018 e última no vencimento","Pagamento semestral, nos dias 15-Nov e 15/mai. Primeiro em 15-Nov-2019 e última no vencimento",Garantia Real,IPCA Spread,"IPCA + 6,0215%",21/12/2020,,5.969,23/03/2020,,,1192.537138,21/12/2020,,,,,,,10.80,1096.97,12.28,437.18,10.81,399.62,,,10.43,0.95,4.23,2176.50,-4.72,-1394.18,9,9,,,-10.19,04/03/2020,23/03/2020,96,22/07/2020
AES Tiete E,Emis 09/Ser 01,Título privado de renda fixa,Anbima,ativo,04128563000110,9,01,TIET19,"Geração, transmissão e distribuição de energia elétrica",Oliveira Trust Dtvm SA,Banco Itau BBA SA,Banco Bradesco SA,Não,1380000000.00,22/04/2019,15/03/2027,,Pagamento Semestral. nos dias 15-mar e 15-set. Primeiro em 15-set-2019,2 parcelas: 50% em 15-mar e 50% no vencimento,Quirografária,DI Spread,"DI + 1,0000%",21/12/2020,,4.7051,13/04/2020,,,960.7948859,26/02/2020,,,,,,,4.98,505.53,0.26,9.18,0.11,4.25,,,7.05,-0.33,6.33,2222.84,-12.91,-3814.97,10,8,,,-15.11,26/02/2020,13/04/2020,,
AES Tiete E,Emis 09/Ser 02,Título privado de renda fixa,Anbima,ativo,04128563000110,9,02,TIET29,"Geração, transmissão e distribuição de energia elétrica",Oliveira Trust Dtvm SA,Banco Itau BBA SA,Banco Bradesco SA,Sim,641090000.00,15/03/2019,15/03/2029,15/08/2028,Pagamento semestral. nos dias 15-mar e 15-set. Primeiro em 15-set-2019 e última no vencimento,"3 Parcelas: 33,33% em 15-mar-2027, 33,33% 15-mar-2028 e 33,34% no vencimento",Quirografária,IPCA Spread,"IPCA + 4,7133%",21/12/2020,,6.1886,24/03/2020,,,1156.952657,21/12/2020,,,,,,,14.19,1441.10,14.08,501.09,11.73,433.69,,,12.37,0.97,5.09,2970.60,-9.58,-2831.52,8,8,,,-13.76,04/03/2020,24/03/2020,93,17/07/2020
AES Tiete E,Emis 09/Ser 03,Título privado de renda fixa,Anbima,ativo,04128563000110,9,03,TIET39,"Geração, transmissão e distribuição de energia elétrica",Oliveira Trust Dtvm SA,Banco Itau BBA SA,Banco Bradesco SA,Sim,178910000.00,15/03/2019,15/03/2029,15/08/2028,Pagamento anual no dia 15-mar. Primeiro em 15-mar-2020 e última no vencimento,"3 Parcelas: 33,33% em 15-mar-2027, 33,33% em 15-mar-2028 e 33,34% no vencimento",Quirografária,IPCA Spread,"IPCA + 4,7133%",21/12/2020,,6.2657,23/03/2020,,,1175.797167,21/12/2020,,,,,,,13.92,1414.37,12.98,461.86,10.89,402.84,,,13.19,0.83,5.89,3030.93,-7.67,-2268.07,8,8,,,-14.48,14/02/2020,23/03/2020,107,22/07/2020
Aguas Guariroba SA,Emis 03/Ser 01,Título privado de renda fixa,Anbima,ativo,04089570000150,3,01,AGGU13,"Água, esgoto e outros sistemas",Pentagono SA Dtvm,Banco BTG Pactual SA,Itau Unibanco SA,Não,400000000.00,15/09/2017,15/09/2022,,"Pagamento semestral, nos dias 15-mar e 15-set. primeiro em 15-mar-2018 e última no vencimento","3 parcelas: 33,33% em 15-set-2020, 33,33% em 15-set-2021 e 33,34% no vencimento",Quirografária,DI Spread,"DI + 1,35%",21/12/2020,,4.1824,07/05/2020,,,6693.022854,21/12/2020,,,,,,,3.77,382.72,3.56,126.66,3.40,125.77,,,2.00,0.38,1.93,907.62,-3.40,-1003.41,11,11,,,-3.54,13/03/2020,31/03/2020,86,17/07/2020
Aguas Guariroba SA,Emis 04/Ser 01,Título privado de renda fixa,Anbima,ativo,04089570000150,4,01,GRRB14,"Água, esgoto e outros sistemas",Pentagono SA Dtvm,Banco Santander Brasil SA,Oliveira Trust DTVM SA,Não,303900000.00,15/07/2019,15/07/2026,,Pagamento Semestral. nos dias 15-jan e 15-jul. Primeiro em 15-jan-2020,2 Parcelas: 50% em 15-jul-2025 e 50% em 15-jul-2026,Quirografária,DI Spread,"DI + 0,8%",21/12/2020,,4.6423,13/04/2020,,,9590.265898,18/03/2020,,,,,,,4.83,490.28,0.10,3.43,-0.05,-1.95,,,5.46,-0.46,4.82,1692.32,-11.72,-3463.22,9,7,,,-13.79,18/03/2020,13/04/2020,,
Aguas Guariroba SA,Emis 04/Ser 02,Título privado de renda fixa,Anbima,ativo,04089570000150,4,02,GRRB24,"Água, esgoto e outros sistemas",Pentagono SA Dtvm,Banco Santander Brasil SA,Oliveira Trust DTVM SA,Não,276100000.00,15/07/2019,15/07/2029,15/08/2028,"Pagamento anual, nos dias 15-Jul. Primeiro em 15-jul-2020 e última no vencimento","Pagamento anual, nos dias 15-Jul. Primeiro em 15-jul-2020 e última no vencimento",Quirografária,IPCA Spread,"IPCA + 4,4%",21/12/2020,,6.4287,24/04/2020,,,10290.79773,21/12/2020,,,,,,,8.81,894.77,4.28,152.25,2.69,99.54,,,12.72,0.18,4.52,2323.96,-5.65,-1669.38,6,6,,,-11.87,14/02/2020,23/03/2020,196,27/11/2020
Algar Telecom S/A,Emis 05/Ser uni,Título privado de renda fixa,Anbima,ativo,71208516000174,5,Uni,ALGA15,Telecomunicações,Pentagono SA Dtvm,Banco J Safra SA,Itau Unibanco SA,Sim,210000000.00,15/05/2016,15/05/2022,15/08/2022,Pagamento semestral. nos dias 15-mai e 15-nov. Primeira em 15-Nov-2016,2 parcelas iguais em 15-mai-2021 e no vencimento,Quirografária,IPCA Spread,"IPCA + 7,7325%",21/12/2020,,4.2745,27/04/2020,,,1267.193619,21/12/2020,,,,,,,7.67,779.24,10.03,357.04,9.65,356.98,,,4.69,1.54,2.01,1066.59,-2.05,-606.10,11,10,,,-3.32,01/12/2020,04/12/2020,11,16/12/2020
Algar Telecom S/A,Emis 06/Ser 01,Título privado de renda fixa,Anbima,ativo,71208516000174,6,01,ALGA16,Telecomunicações,Pentagono SA Dtvm,Banco Itau BBA SA,Itau Unibanco SA,Não,150000000.00,15/03/2017,15/03/2022,,"Pagamento semestral, nos dias 15-Set e 15-Mar. Primeiro em 15-Set-2017 e último no vencimento.",2 parcelas em 15-03-2021 e no vencimento.,Quirografária,DI Spread,"DI + 1,4%",21/12/2020,,3.271,09/04/2020,,,1009.224892,21/12/2020,,,,,,,3.78,383.64,4.56,162.27,4.42,163.61,,,1.56,0.32,1.59,996.15,-2.57,-758.79,11,11,,,-2.86,18/03/2020,08/04/2020,72,02/07/2020
